Neighborhood,Decade,Education,Number of People,Percent of Population
Jamaica Plain,1990,Bachelor's Degree or Higher,9327,37.33%
Jamaica Plain,2000,less than High School,4568,18.44%
Jamaica Plain,2000,High School or GED,4395,17.74%
Jamaica Plain,2000,Some College or Associate's Degree,4668,18.85%
Jamaica Plain,2000,Bachelor's Degree or Higher,11137,44.97%
Jamaica Plain,2010,less than High School,-,
Jamaica Plain,2010,High School or GED,-,
Jamaica Plain,2010,Some College or Associate's Degree,-,
Jamaica Plain,2010,Bachelor's Degree or Higher,-,
Longwood Medical Area,1950,less than High School,535,36.44%
Longwood Medical Area,1950,High School or GED,417,28.41%
Longwood Medical Area,1950,Some College or Associate's Degree,173,11.78%
Longwood Medical Area,1950,Bachelor's Degree or Higher,343,23.37%
Longwood Medical Area,1960,less than High School,725,48.08%
Longwood Medical Area,1960,High School or GED,392,25.99%
Longwood Medical Area,1960,Some College or Associate's Degree,197,13.06%
Longwood Medical Area,1960,Bachelor's Degree or Higher,194,12.86%
Longwood Medical Area,1970,less than High School,269,30.43%
Longwood Medical Area,1970,High School or GED,177,20.02%
Longwood Medical Area,1970,Some College or Associate's Degree,179,20.25%
Longwood Medical Area,1970,Bachelor's Degree or Higher,259,29.30%
Longwood Medical Area,1980,less than High School,161,29.49%
Longwood Medical Area,1980,High School or GED,154,28.21%
Longwood Medical Area,1980,Some College or Associate's Degree,95,17.40%
Longwood Medical Area,1980,Bachelor's Degree or Higher,136,24.91%
Longwood Medical Area,1990,less than High School,188,27.93%
Longwood Medical Area,1990,High School or GED,166,24.67%
Longwood Medical Area,1990,Some College or Associate's Degree,141,20.95%
Longwood Medical Area,1990,Bachelor's Degree or Higher,178,26.45%
Longwood Medical Area,2000,less than High School,201,30.73%
Longwood Medical Area,2000,High School or GED,140,21.41%
Longwood Medical Area,2000,Some College or Associate's Degree,85,13.00%
Longwood Medical Area,2000,Bachelor's Degree or Higher,228,34.86%
Longwood Medical Area,2010,less than High School,-,
Longwood Medical Area,2010,High School or GED,-,
Longwood Medical Area,2010,Some College or Associate's Degree,-,
Longwood Medical Area,2010,Bachelor's Degree or Higher,-,
Mattapan,1950,less than High School,7226,49.77%
Mattapan,1950,High School or GED,5140,35.40%
Mattapan,1950,Some College or Associate's Degree,1583,10.90%
Mattapan,1950,Bachelor's Degree or Higher,569,3.92%
Mattapan,1960,less than High School,7104,46.19%
Mattapan,1960,High School or GED,5967,38.80%
Mattapan,1960,Some College or Associate's Degree,1286,8.36%
Mattapan,1960,Bachelor's Degree or Higher,1023,6.65%
Mattapan,1970,less than High School,6630,42.69%
Mattapan,1970,High School or GED,6453,41.55%
Mattapan,1970,Some College or Associate's Degree,1354,8.72%
Mattapan,1970,Bachelor's Degree or Higher,1092,7.03%
Mattapan,1980,less than High School,3505,27.37%
Mattapan,1980,High School or GED,5905,46.11%
Mattapan,1980,Some College or Associate's Degree,2066,16.13%
Mattapan,1980,Bachelor's Degree or Higher,1331,10.39%
Mattapan,1990,less than High School,3848,26.02%
Mattapan,1990,High School or GED,4720,31.92%
Mattapan,1990,Some College or Associate's Degree,4149,28.06%
Mattapan,1990,Bachelor's Degree or Higher,2071,14.00%
Mattapan,2000,less than High School,3478,23.56%
Mattapan,2000,High School or GED,4567,30.94%
Mattapan,2000,Some College or Associate's Degree,4212,28.53%
Mattapan,2000,Bachelor's Degree or Higher,2506,16.97%
Mattapan,2010,less than High School,-,
Mattapan,2010,High School or GED,-,
Mattapan,2010,Some College or Associate's Degree,-,
Mattapan,2010,Bachelor's Degree or Higher,-,
Mission Hill ,1950,less than High School,7175,56.47%
Mission Hill ,1950,High School or GED,3880,30.54%
Mission Hill ,1950,Some College or Associate's Degree,805,6.34%
Mission Hill ,1950,Bachelor's Degree or Higher,846,6.66%
Mission Hill ,1960,less than High School,6029,56.18%
Mission Hill ,1960,High School or GED,2905,27.07%
Mission Hill ,1960,Some College or Associate's Degree,940,8.76%
Mission Hill ,1960,Bachelor's Degree or Higher,857,7.99%
Mission Hill ,1970,less than High School,3661,45.06%
Mission Hill ,1970,High School or GED,2242,27.60%
Mission Hill ,1970,Some College or Associate's Degree,825,10.16%
Mission Hill ,1970,Bachelor's Degree or Higher,1396,17.18%
Mission Hill ,1980,less than High School,2225,30.56%
Mission Hill ,1980,High School or GED,2241,30.78%
Mission Hill ,1980,Some College or Associate's Degree,1295,17.79%
Mission Hill ,1980,Bachelor's Degree or Higher,1520,20.88%
Mission Hill ,1990,less than High School,2676,29.08%
Mission Hill ,1990,High School or GED,2219,24.11%
Mission Hill ,1990,Some College or Associate's Degree,1745,18.96%
Mission Hill ,1990,Bachelor's Degree or Higher,2563,27.85%
Mission Hill ,2000,less than High School,1940,22.61%
Mission Hill ,2000,High School or GED,1616,18.83%
Mission Hill ,2000,Some College or Associate's Degree,1571,18.31%
Mission Hill ,2000,Bachelor's Degree or Higher,3453,40.24%
Mission Hill ,2010,less than High School,-,
Mission Hill ,2010,High School or GED,-,
Mission Hill ,2010,Some College or Associate's Degree,-,
Mission Hill ,2010,Bachelor's Degree or Higher,-,
North End,1950,less than High School,7870,84.25%
North End,1950,High School or GED,1097,11.74%
North End,1950,Some College or Associate's Degree,167,1.79%
North End,1950,Bachelor's Degree or Higher,207,2.22%
North End,1960,less than High School,6482,78.99%
North End,1960,High School or GED,1294,15.77%
North End,1960,Some College or Associate's Degree,208,2.53%
North End,1960,Bachelor's Degree or Higher,222,2.71%
North End,1970,less than High School,5029,75.30%
North End,1970,High School or GED,1126,16.86%
North End,1970,Some College or Associate's Degree,253,3.79%
North End,1970,Bachelor's Degree or Higher,271,4.06%
North End,1980,less than High School,2699,45.48%
North End,1980,High School or GED,1448,24.40%
North End,1980,Some College or Associate's Degree,475,8.00%
North End,1980,Bachelor's Degree or Higher,1313,22.12%
North End,1990,less than High School,1627,26.14%
North End,1990,High School or GED,1104,17.74%
North End,1990,Some College or Associate's Degree,1072,17.23%
North End,1990,Bachelor's Degree or Higher,2420,38.89%
North End,2000,less than High School,783,11.80%
North End,2000,High School or GED,882,13.29%
North End,2000,Some College or Associate's Degree,880,13.26%
North End,2000,Bachelor's Degree or Higher,4092,61.65%
North End,2010,less than High School,-,
North End,2010,High School or GED,-,
North End,2010,Some College or Associate's Degree,-,
North End,2010,Bachelor's Degree or Higher,-,
Roslindale,1950,less than High School,8638,47.77%
Roslindale,1950,High School or GED,6707,37.09%
Roslindale,1950,Some College or Associate's Degree,1479,8.18%
Roslindale,1950,Bachelor's Degree or Higher,1257,6.95%
Roslindale,1960,less than High School,8259,46.60%
Roslindale,1960,High School or GED,6461,36.46%
Roslindale,1960,Some College or Associate's Degree,1727,9.74%
Roslindale,1960,Bachelor's Degree or Higher,1276,7.20%
Roslindale,1970,less than High School,7656,40.96%
Roslindale,1970,High School or GED,7863,42.07%
Roslindale,1970,Some College or Associate's Degree,1607,8.60%
Roslindale,1970,Bachelor's Degree or Higher,1566,8.38%
Roslindale,1980,less than High School,5389,30.94%
Roslindale,1980,High School or GED,7553,43.37%
Roslindale,1980,Some College or Associate's Degree,2100,12.06%
Roslindale,1980,Bachelor's Degree or Higher,2373,13.63%
Roslindale,1990,less than High School,3850,20.48%
Roslindale,1990,High School or GED,6071,32.30%
Roslindale,1990,Some College or Associate's Degree,4059,21.59%
Roslindale,1990,Bachelor's Degree or Higher,4817,25.63%
Roslindale,2000,less than High School,3523,17.96%
Roslindale,2000,High School or GED,5277,26.90%
Roslindale,2000,Some College or Associate's Degree,4393,22.40%
Roslindale,2000,Bachelor's Degree or Higher,6422,32.74%
Roslindale,2010,less than High School,-,
Roslindale,2010,High School or GED,-,
Roslindale,2010,Some College or Associate's Degree,-,
Roslindale,2010,Bachelor's Degree or Higher,-,
Roxbury,1950,less than High School,36634,64.41%
Roxbury,1950,High School or GED,15353,26.99%
Roxbury,1950,Some College or Associate's Degree,2708,4.76%
Roxbury,1950,Bachelor's Degree or Higher,2184,3.84%
Roxbury,1960,less than High School,27603,67.27%
Roxbury,1960,High School or GED,9621,23.45%
Roxbury,1960,Some College or Associate's Degree,2205,5.37%
Roxbury,1960,Bachelor's Degree or Higher,1603,3.91%
Roxbury,1970,less than High School,14587,57.96%
Roxbury,1970,High School or GED,7876,31.29%
Roxbury,1970,Some College or Associate's Degree,1710,6.79%
Roxbury,1970,Bachelor's Degree or Higher,995,3.95%
Roxbury,1980,less than High School,10487,45.23%
Roxbury,1980,High School or GED,8236,35.52%
Roxbury,1980,Some College or Associate's Degree,2592,11.18%
Roxbury,1980,Bachelor's Degree or Higher,1871,8.07%
Roxbury,1990,less than High School,10287,40.88%
Roxbury,1990,High School or GED,7164,28.47%
Roxbury,1990,Some College or Associate's Degree,4950,19.67%
Roxbury,1990,Bachelor's Degree or Higher,2765,10.99%
Roxbury,2000,less than High School,7889,31.97%
Roxbury,2000,High School or GED,7954,32.24%
Roxbury,2000,Some College or Associate's Degree,5617,22.77%
Roxbury,2000,Bachelor's Degree or Higher,3213,13.02%
Roxbury,2010,less than High School,-,
Roxbury,2010,High School or GED,-,
Roxbury,2010,Some College or Associate's Degree,-,
Roxbury,2010,Bachelor's Degree or Higher,-,
South Boston Waterfront,1950,less than High School,920,75.47%
South Boston Waterfront,1950,High School or GED,272,22.31%
South Boston Waterfront,1950,Some College or Associate's Degree,11,0.90%
South Boston Waterfront,1950,Bachelor's Degree or Higher,16,1.31%
South Boston Waterfront,1960,less than High School,1038,61.93%
South Boston Waterfront,1960,High School or GED,466,27.80%
South Boston Waterfront,1960,Some College or Associate's Degree,87,5.19%
South Boston Waterfront,1960,Bachelor's Degree or Higher,85,5.07%
South Boston Waterfront,1970,less than High School,393,68.59%
South Boston Waterfront,1970,High School or GED,141,24.61%
South Boston Waterfront,1970,Some College or Associate's Degree,11,1.92%
South Boston Waterfront,1970,Bachelor's Degree or Higher,28,4.89%
South Boston Waterfront,1980,less than High School,180,48.78%
South Boston Waterfront,1980,High School or GED,153,41.46%
South Boston Waterfront,1980,Some College or Associate's Degree,30,8.13%
South Boston Waterfront,1980,Bachelor's Degree or Higher,6,1.63%
South Boston Waterfront,1990,less than High School,138,17.62%
South Boston Waterfront,1990,High School or GED,178,22.73%
South Boston Waterfront,1990,Some College or Associate's Degree,217,27.71%
South Boston Waterfront,1990,Bachelor's Degree or Higher,250,31.93%
South Boston Waterfront,2000,less than High School,153,15.50%
South Boston Waterfront,2000,High School or GED,213,21.58%
South Boston Waterfront,2000,Some College or Associate's Degree,190,19.25%
South Boston Waterfront,2000,Bachelor's Degree or Higher,431,43.67%
South Boston Waterfront,2010,less than High School,-,
South Boston Waterfront,2010,High School or GED,-,
South Boston Waterfront,2010,Some College or Associate's Degree,-,
South Boston Waterfront,2010,Bachelor's Degree or Higher,-,
South Boston,1950,less than High School,18154,62.88%
South Boston,1950,High School or GED,8295,28.73%
South Boston,1950,Some College or Associate's Degree,1447,5.01%
South Boston,1950,Bachelor's Degree or Higher,974,3.37%
South Boston,1960,less than High School,15232,62.97%
South Boston,1960,High School or GED,7321,30.27%
South Boston,1960,Some College or Associate's Degree,916,3.79%
South Boston,1960,Bachelor's Degree or Higher,719,2.97%
South Boston,1970,less than High School,12063,56.47%
South Boston,1970,High School or GED,7372,34.51%
South Boston,1970,Some College or Associate's Degree,955,4.47%
South Boston,1970,Bachelor's Degree or Higher,972,4.55%
South Boston,1980,less than High School,7264,38.23%
South Boston,1980,High School or GED,8695,45.76%
South Boston,1980,Some College or Associate's Degree,1701,8.95%
South Boston,1980,Bachelor's Degree or Higher,1342,7.06%
South Boston,1990,less than High School,5043,25.05%
South Boston,1990,High School or GED,8205,40.76%
South Boston,1990,Some College or Associate's Degree,3740,18.58%
South Boston,1990,Bachelor's Degree or Higher,3144,15.62%
South Boston,2000,less than High School,3948,18.97%
South Boston,2000,High School or GED,6836,32.84%
South Boston,2000,Some College or Associate's Degree,4312,20.72%
South Boston,2000,Bachelor's Degree or Higher,5719,27.48%
South Boston,2010,less than High School,-,
South Boston,2010,High School or GED,-,
South Boston,2010,Some College or Associate's Degree,-,
South Boston,2010,Bachelor's Degree or Higher,-,
South End,1950,less than High School,24591,72.85%
South End,1950,High School or GED,6270,18.58%
South End,1950,Some College or Associate's Degree,1522,4.51%
South End,1950,Bachelor's Degree or Higher,1371,4.06%
South End,1960,less than High School,16344,72.88%
South End,1960,High School or GED,3934,17.54%
South End,1960,Some College or Associate's Degree,1185,5.28%
South End,1960,Bachelor's Degree or Higher,963,4.29%
South End,1970,less than High School,8062,56.44%
South End,1970,High School or GED,3376,23.63%
South End,1970,Some College or Associate's Degree,1130,7.91%
South End,1970,Bachelor's Degree or Higher,1717,12.02%
South End,1980,less than High School,5648,34.04%
South End,1980,High School or GED,3824,23.05%
South End,1980,Some College or Associate's Degree,2229,13.43%
South End,1980,Bachelor's Degree or Higher,4890,29.47%
South End,1990,less than High School,4388,23.77%
South End,1990,High School or GED,2446,13.25%
South End,1990,Some College or Associate's Degree,3369,18.25%
South End,1990,Bachelor's Degree or Higher,8258,44.73%
South End,2000,less than High School,3778,18.61%
South End,2000,High School or GED,2866,14.12%
South End,2000,Some College or Associate's Degree,2960,14.58%
South End,2000,Bachelor's Degree or Higher,10697,52.69%
South End,2010,less than High School,-,
South End,2010,High School or GED,-,
South End,2010,Some College or Associate's Degree,-,
South End,2010,Bachelor's Degree or Higher,-,
West End,1950,less than High School,5369,71.88%
West End,1950,High School or GED,1361,18.22%
West End,1950,Some College or Associate's Degree,378,5.06%
West End,1950,Bachelor's Degree or Higher,361,4.83%
West End,1960,less than High School,848,66.77%
West End,1960,High School or GED,232,18.27%
West End,1960,Some College or Associate's Degree,75,5.91%
West End,1960,Bachelor's Degree or Higher,115,9.06%
West End,1970,less than High School,596,25.86%
West End,1970,High School or GED,509,22.08%
West End,1970,Some College or Associate's Degree,318,13.80%
West End,1970,Bachelor's Degree or Higher,882,38.26%
West End,1980,less than High School,351,10.35%
West End,1980,High School or GED,637,18.79%
West End,1980,Some College or Associate's Degree,654,19.29%
West End,1980,Bachelor's Degree or Higher,1749,51.58%
West End,1990,less than High School,361,11.88%
West End,1990,High School or GED,307,10.10%
West End,1990,Some College or Associate's Degree,491,16.15%
West End,1990,Bachelor's Degree or Higher,1881,61.88%
West End,2000,less than High School,420,10.78%
West End,2000,High School or GED,485,12.45%
West End,2000,Some College or Associate's Degree,606,15.55%
West End,2000,Bachelor's Degree or Higher,2386,61.23%
West End,2010,less than High School,-,
West End,2010,High School or GED,-,
West End,2010,Some College or Associate's Degree,-,
West End,2010,Bachelor's Degree or Higher,-,
West Roxbury,1950,less than High School,6754,40.34%
West Roxbury,1950,High School or GED,6190,36.97%
West Roxbury,1950,Some College or Associate's Degree,1683,10.05%
West Roxbury,1950,Bachelor's Degree or Higher,2117,12.64%
West Roxbury,1960,less than High School,7054,38.21%
West Roxbury,1960,High School or GED,6781,36.74%
West Roxbury,1960,Some College or Associate's Degree,2298,12.45%
West Roxbury,1960,Bachelor's Degree or Higher,2326,12.60%
West Roxbury,1970,less than High School,6343,30.16%
West Roxbury,1970,High School or GED,8796,41.83%
West Roxbury,1970,Some College or Associate's Degree,2692,12.80%
West Roxbury,1970,Bachelor's Degree or Higher,3198,15.21%
West Roxbury,1980,less than High School,4538,20.76%
West Roxbury,1980,High School or GED,8968,41.03%
West Roxbury,1980,Some College or Associate's Degree,3490,15.97%
West Roxbury,1980,Bachelor's Degree or Higher,4863,22.25%
West Roxbury,1990,less than High School,2864,12.80%
West Roxbury,1990,High School or GED,6839,30.57%
West Roxbury,1990,Some College or Associate's Degree,4564,20.40%
West Roxbury,1990,Bachelor's Degree or Higher,8106,36.23%
West Roxbury,2000,less than High School,2713,12.62%
West Roxbury,2000,High School or GED,5105,23.75%
West Roxbury,2000,Some College or Associate's Degree,4717,21.94%
West Roxbury,2000,Bachelor's Degree or Higher,8964,41.69%
West Roxbury,2010,less than High School,-,
West Roxbury,2010,High School or GED,-,
West Roxbury,2010,Some College or Associate's Degree,-,
West Roxbury,2010,Bachelor's Degree or Higher,-,
